bias,threshold,threshold_error
0.5,  0.18777621207320944, 0.0009181122220902222
1.0,  0.1770377329150635,  0.0009353272445842351
3.0,  0.13338052362223493, 0.0005213195095192247
10,   0.11615253437467293, 0.0006513336942780035
30,   0.11071969126210712, 0.0005321553956760431
100,  0.10917351047939305, 0.000540808914356726
1000, 0.10906794614374765, 0.0006225138227990353


