bias,threshold,threshold_error
0.5,  0.18724504285638313, 0.0007881641829984382
1.0,  0.19208454962483068, 0.0005201478120920913
3.0,  0.2208214913015228, 0.0007318092189458499
10.0, 0.28233070415890205, 0.0011151291039510523
30.0, 0.3475986253197999, 0.00226575186792159
100,  0.4060240636189221, 0.0027753579139641175
1000, 0.5,         0.0
